"species","scientificName","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","year","month","country","countryCode","class","locality","occurrenceStatus","basisOfRecord","institutionCode","gbifRegion","phylum","family"
"Cyanistes caeruleus","Cyanistes caeruleus (Linnaeus, 1758)",51.692319,0.728272,26164,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Paridae"
"Cyanistes caeruleus","Cyanistes caeruleus (Linnaeus, 1758)",51.671606,-1.262533,2,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Paridae"
"Cyanistes caeruleus","Cyanistes caeruleus (Linnaeus, 1758)",53.545627,-2.769903,NA,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Paridae"
"Cyanistes caeruleus","Cyanistes caeruleus (Linnaeus, 1758)",54.768539,-2.39859,93,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Paridae"
"Cyanistes caeruleus","Cyanistes caeruleus (Linnaeus, 1758)",51.554284,0.416893,NA,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Paridae"
"Cyanistes caeruleus","Cyanistes caeruleus (Linnaeus, 1758)",54.806785,-1.557484,373,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Paridae"
"Cyanistes caeruleus","Cyanistes caeruleus (Linnaeus, 1758)",53.628761,-2.146353,368,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Paridae"
"Cyanistes caeruleus","Cyanistes caeruleus (Linnaeus, 1758)",53.813646,-1.952079,254,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Paridae"
"Cyanistes caeruleus","Cyanistes caeruleus (Linnaeus, 1758)",51.899377,0.887947,196,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Paridae"
"Cyanistes caeruleus","Cyanistes caeruleus (Linnaeus, 1758)",53.628761,-2.146353,368,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves",NA,"PRESENT","HUMAN_OBSERVATION","iNaturalist","EUROPE","Chordata","Paridae"
"Cyanistes caeruleus","Cyanistes caeruleus (Linnaeus, 1758)",50.783033,-3.330073,4,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves","Talaton CP","PRESENT","HUMAN_OBSERVATION",NA,"EUROPE","Chordata","Paridae"
"Cyanistes caeruleus","Cyanistes caeruleus (Linnaeus, 1758)",51.553671,0.000274,2,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves","England - Greater London","PRESENT","HUMAN_OBSERVATION",NA,"EUROPE","Chordata","Paridae"
"Cyanistes caeruleus","Cyanistes caeruleus (Linnaeus, 1758)",50.783033,-3.330073,4,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves","Talaton CP","PRESENT","HUMAN_OBSERVATION",NA,"EUROPE","Chordata","Paridae"
"Cyanistes caeruleus","Cyanistes caeruleus (Linnaeus, 1758)",50.782991,-3.330086,4,2025,1,"United Kingdom of Great Britain and Northern Ireland","GB","Aves","Talaton CP","PRESENT","HUMAN_OBSERVATION",NA,"EUROPE","Chordata","Paridae"
